New Rank 3 Job "Legend" is Here! July 13 Update!,2022-07-13
Double chance campaign for selected Area Boss drops!,2022-07-13
Sweet Service Gacha,2022-07-12
"Oratorio of Angels Gacha" starts!,2022-07-12
Easter Bunny Gacha Is Here!,2022-07-12
Good Fashion GachaⅥ,2022-07-10
Another Color GachaⅡ,2022-07-09
Introducing the 2nd Place Item from the Design Contest Boy’s Division!,2022-07-08
"Wolf Armor Gacha" starts!,2022-07-08
Accessory Ⅶ Selection Gacha,2022-07-07
New Event "Gyorumi Village Festival?～Part 1～" Starts!,2022-07-06
[7/6 18:00 Update] Maintenance Notice [End],2022-07-06
Featuring Demon Wings!"Fallen Traitor  Gacha" now available!,2022-07-05
Legendary Fest Gacha,2022-07-03
"Cats & Rice Lottery T" Winner Results!,2022-07-01
"Spiritual Shaman Gacha",2022-07-01
July NM Gacha Tix,2022-07-01
Mount,2022-06-30
Double chance campaign for selected Area Boss drops!,2022-06-29
Alchemia DesignersⅢ(Boy),2022-06-28
Noble Industry Gacha！,2022-06-28
Emotion Gift Box4 Arrives!,2022-06-26
July 2022 Calendar Wallpaper!,2022-06-25
Armor Set Added!Wild Roar Gacha,2022-06-24
"Demon Kings Gacha" now available!,2022-06-24
Win LR Accessory!? "Traditional Jewelry Gacha" Arrives!,2022-06-24
New Event "Wedding on a Cruise Ship ～Part 2～" Starts!,2022-06-22
2017 X'mas Avatar Gacha,2022-06-21
"Welcome back Master/My Lady Gacha" starts!,2022-06-17
Event "Spirit Wars (Earth Spirit)" Starts!,2022-06-15
"Wind Weapon Gacha" now available!,2022-06-15
Step-Up Style "Rainy Season Sp Gacha" Now Available!,2022-06-15
Formal Dress Gacha,2022-06-15
【Screenshot Contest Results!】May Screenshot Contest Starts!,2022-06-15
Comes with abilities!"Rabbit Barrage Gacha" !,2022-06-12
Crane's Return of a Favor Gacha,2022-06-10
"-Deathly Revelation- Grim Reaper Gacha" starts!,2022-06-10
New Event "Wedding on a Cruise Ship～Part 1～" Starts!,2022-06-08
"Rainy Pack" now on sale!,2022-06-08
Wolf Armor Gacha Tix,2022-06-08
Introducing the 3rd Place Item from the Design Contest Girl’s Division!,2022-06-07
"Easter Hunt Gacha" starts!,2022-06-07
June NM Gacha Tix,2022-06-01
Step-Up Style "4th Release Anniversary Gacha" Now Available!,2022-05-30
"Anniversary Pack" Now Available!,2022-05-30
Free 10x Gacha Now Available!,2022-05-30
Thief's Tricks! "Midnight Phantom Gacha" Is Here!,2022-05-28
Powerful Gear! "Ability Avatar GachaⅡ" Arrives!,2022-05-27
New Event "A Star is Born?! Diva Mamono ～Part 2～" Starts!,2022-05-25
Soul Carnival Gacha,2022-05-20
June 2022 Calendar Wallpaper!,2022-05-20
May 18 update details!,2022-05-18
【Screenshot Contest Results!】April Screenshot Contest Starts!,2022-05-18
Dragon's Revelation Gacha,2022-05-17
Lots Of Cute Stuffed Animals! "Plushie Gacha" Now Available!,2022-05-16
"Natural Beauty Peach Festival! Gacha" now available!,2022-05-13
New Event "A Star is Born?! Diva Mamono～Part 1～" Starts!,2022-05-11
F Academia Gacha Tix,2022-05-11
Fox God Gacha,2022-05-10
Win a complete UR Avatar set! " Avatar Dream Gacha" starts!,2022-05-07
Alchemia DesignersⅣ(Boy) Gacha,2022-05-06
Couple Drive Fes Starts!,2022-05-02
May NM Gacha Tix,2022-05-01
Increased ATK & MATK! "Cruel Officer Gacha" is here!,2022-04-28
Nussy Hoodie Gacha,2022-04-28
New Event "Dragon E Egg Z ～Part 2～" Starts!,2022-04-27
"GW Alchemia Campaign" Starts!,2022-04-27
Step-Up Style "GW Special Gacha" Now Available!,2022-04-27
Golden Week Limited! "GW Sp Pack" Now Available!,2022-04-27
Event "Spirit Wars (Flame Spirit)" Starts!,2022-04-27
GW Login Bonus Starts,2022-04-27
"White Night Gacha" starts!,2022-04-26
Win LR Accessory!? "Traditional Jewelry Gacha" Arrives!,2022-04-26
Pure Collection Gacha,2022-04-25
May 2022 Calendar Wallpaper!,2022-04-25
Cyber Fantasy Gacha,2022-04-24
Winter School Uniform Gacha,2022-04-23
High Core Lv 9 Added!!"New Grande Gacha",2022-04-23
Lovely Wonderland Gacha,2022-04-22
Increased Damage Limit! "Forbidden Beasts Gacha",2022-04-22
April 20 update details!,2022-04-20
Increased Elemental Attack!"Milky Way Explorers Gacha" Arrives!,2022-04-18
Get Rare Cores! "Core Boost Gacha" now available!,2022-04-16
【Screenshot Contest Results!】March Screenshot Contest Starts!,2022-04-15
Increased MATK! "Pastry Chef Gacha" Now Available!,2022-04-14
New Event "Dragon E Egg Z～Part 1～" Starts!,2022-04-13
"Spring Support Campaign" Starts!,2022-04-13
Happy Back to School Gacha,2022-04-12
Step-Up Style "Japanese Style Spring Gacha" Is Here!,2022-04-10
"Dressy Kimono Gacha"now available!,2022-04-07
Dressy KimonoⅡ Gacha,2022-04-07
Get UR Set! New Year! Dressy SP Gacha,2022-04-07
"Dark Night’s Raven Gacha" starts!,2022-04-05
Get 11 High Cores!!"High Grande Gacha",2022-04-04
S&C Mamono-chan G Tix,2022-04-02
New Event "True Power of Lies" Starts!,2022-04-02
About Changing Jobs,2022-04-01
"Heavenly Dance Gacha" starts!,2022-04-01
【April NM Gacha Tix】,2022-04-01
New Event "The Power of Lies" Starts!,2022-04-01
April 2022 Calendar Wallpaper!,2022-03-31
"Spring is Here Panel Mission" Starts!,2022-03-30
Red Core Selection Gacha,2022-03-29
Blue Core Selection Gacha,2022-03-29
Yellow Core Selection Gacha,2022-03-29
Green Core Selection Gacha,2022-03-29
Mix and match! Accessory Paradise GachaⅡ starts!,2022-03-27
Spider Puppet Gacha,2022-03-25
Möbius Shooter Gacha,2022-03-24
New Event "Sakura Battle!! ～Part 2～" Starts!,2022-03-23
Emotion Gift Box3 Arrives!,2022-03-23
Mamono-chan's Miracle Set A,2022-03-16
March 16 update details!,2022-03-16
【Screenshot Contest Results!】February Screenshot Contest Starts!,2022-03-16
Red Fairy-Tale Gacha,2022-03-15
【3/23 Edit】Powerful Gear! "Ability Avatar Gacha" Arrives!,2022-03-14
Ange Fleur Gacha,2022-03-13
【Contest Results!】YOME Phrase Contest Starts!,2022-03-11
New Event "Sakura Battle!!～Part 1～" Starts!,2022-03-09
Miracle Core 10x G Tix,2022-03-09
Miracle Accessory G Tix,2022-03-09
